Store,Address,Phone,lat,lon,In District
Baciccia,"426 7th Ave, Brooklyn, NY",(718) 788-1000,40.6638198,-73.9843521,Yes
Mike Daddy's Pizza,"449 7th Ave, Brooklyn, NY",718-768-9700,40.6628991,-73.9847109,Yes
Pizzas Plus,"359 7th Ave, Brooklyn, NY",(718) 768-5327,40.6659015,-73.9822178,Yes
Sotto Voce,"225 7th Ave, Brooklyn, NY",(718) 369-9322,40.6699174,-73.9788574,Yes
Numero 28,"139 7th Ave, Brooklyn, NY",(718) 398-9198,40.6727375,-73.9763548,Yes
Da Nonna Rosa,"140 7th Ave, Brooklyn, NY",(718) 788-6225,40.672915950000004,-73.97699397981806,Yes
Smiling Pizza,"323 7th Ave, Brooklyn, NY",718-788-2137,40.6669746,-73.9813174,Yes
Just Salad,"252 7th Ave, Brooklyn, NY",866-673-3757,40.6694841,-73.9796096,Yes
Camperdown Elm Cuisine,"441 7th Ave, Brooklyn, NY",(347) 294-4786,40.6631297,-73.9845191,Yes
Bare Burger,"170 7th Ave, Brooklyn, NY",(718) 768-2273,40.6718642,-73.9776235,Yes
Bar Basic,"71 7th Ave, Brooklyn, NY",(347) 348-3046,40.6751853,-73.9747957,Yes
Burger Village,"222 7th Avenue, Brooklyn, NY",718-499-4165,40.6703689,-73.978873,Yes
DDT,"847A Union St, Brooklyn, NY",(929) 260-4979,40.674735,-73.9757817,Yes
Mr. Wonton,"73 7th Ave, Brooklyn, NY",718-398-7088,40.6751334,-73.9748331,Yes
Jintana Thai Farmhouse,"344 7th Ave, Brooklyn, NY",(718) 788-1922,40.6665543,-73.9820695,Yes
Jai Dee,"420 7th Ave, Brooklyn, NY",(718) 832-1544,40.6641096,-73.9841094,Yes
Fonda,"434 7th Ave, Brooklyn, NY",(718) 369 3144,40.6635858,-73.9845425,Yes
Ten japanese Cuisine,"440 7th Ave, Brooklyn, NY",(718) 768-4888,40.6634477,-73.9846638,Yes
Casa Azul,"492 11th St, Brooklyn, NY",(929) 337-6767,40.6655246,-73.9824783,Yes
Rice Thai Kitchen,"311 7th Ave, Brooklyn, NY",(718) 832-5169,40.6672936,-73.9810567,Yes
Istanbul,"293 7th Ave, Brooklyn, NY",(718) 832-3400,40.6678455,-73.9805935,Yes
Chipotle,"185 7th Ave, Brooklyn, NY",(347) 725-4450,40.67112415,-73.9776307188933,Yes
Spice,"61A 7th Ave, Brooklyn, NY",(718) 622-6353,40.675488,-73.974586,Yes
Bombay Kabab,"52 7th Ave, Brooklyn, NY",(347) 889-7686,40.6761132,-73.9745244,Yes
Szechuan Garden,"463 7th Ave, Brooklyn, NY",(718) 788 - 0788,40.6624098,-73.9851339,Yes
Cafe Steinhof,"422 7th Avenue, Brooklyn, NY",(718) 369-7776,40.6640552,-73.9841564,Yes
Szechuan Delight,"152 7th Avenue, Brooklyn, NY",(718) 788-5408,40.6725356,-73.9770742,Yes
Papi's Grill,"161 7th Ave, Brooklyn, NY",(917) 909-0589,40.672143,-73.977012,Yes
Joy Kitchen,"497 7th Ave, Brooklyn, NY",(718) 965-2874,40.6615086,-73.9858733,Yes
Pita Pan,"167 7th Avenue, Brooklyn, NY",(718) 832-3876,40.6719299,-73.9771907,Yes
Henry's Bubble Tea,"433 7th Ave, Brooklyn, NY",(718) 788-8882,40.6634377,-73.9842639,Yes
Mr. Wonton,"73 7th Ave, Brooklyn, NY",(718) 398-7088,40.6751334,-73.9748331,Yes
Bagel Delight,"284 7th Ave, Brooklyn, NY",(718) 768-6107,40.6685782,-73.9803757,Yes
Bagel Hole,"398 7th Ave, Brooklyn, NY",(718) 788-4014,40.664881,-73.983457,Yes
Cusp Crepe,"321 7th Ave, Brooklyn, NY",(718) 788-2980,40.6670686,-73.9812452,Yes
Java Joe's,"418 8th St, Brooklyn, NY",(718) 369-6026,40.66723485,-73.98078605,Yes
AMA Coffee,"295 7th Ave, Brooklyn, NY",(646) 318-3378,40.6678048,-73.9806236,Yes
Hungry  Ghost,"156 7th Ave, Brooklyn, NY",(718) 483-8666,40.6723067,-73.9772577,Yes
Connecticut Muffin,"171 7th Ave, Brooklyn, NY",(718) 768-2022,40.6718594,-73.9772497,Yes
Bagel Market,"106 7th Ave, Brooklyn, NY",(718) 230-4700,40.674168,-73.9758305,Yes
Bagel Pub,"57 7th Ave, Brooklyn, NY",718-499-4402,40.6757661,-73.9743815,Yes
Prospect Wine,"322 7th Ave, Brooklyn, NY",(718) 768-1232,40.6672852,-73.9814599,Yes
Slope Cellars,"436 7th Ave, Brooklyn, NY",(718) 369-7307,40.6635414,-73.9845778,Yes
"Big Nose, Full Body Wine","389 7th Ave, Brooklyn, NY",(718) 369-4030,40.6651025,-73.9828739,Yes
Amaro Wines,"211 7th Ave, Brooklyn, NY",(347) 689-2660,40.6702016,-73.9786253,Yes
Shawn's Liqour,"141 7th Ave, Brooklyn, NY",(718) 622-7947,40.6727233,-73.9764377,Yes
7th Ave Wine & Liquors,"88 7th Ave, Brooklyn, NY",(718) 399-3300,40.67481,-73.9753901,Yes
Union Market,"404 7th Ave, Brooklyn, NY",(718) 499-4026,40.66474595,-73.98366724179644,Yes
7th Ave Gourmet,"77 7th Ave, Brooklyn, NY",(718) 783-3806,40.67490318789852,-73.97504161842771,Yes
Keyfood,"130 7th Av, Brooklyn, NY",(718) 768-8317,40.67312765,-73.97679484981059,Yes
Park Slope Farm/ Market,"294 7th Ave, Brooklyn, NY",,40.66813895,-73.98092114589338,Yes
Food Train Grocer,"366 7th Ave, Brooklyn, NY",(718) 832-6916,40.6659471,-73.98270477652554,Yes
Mr Lime,"313 7th Ave, Brooklyn, NY",,40.6672274,-73.9811035,Yes
396 Deli,"396 7th Ave, Brooklyn, NY",(718) 788-9797,40.6650694,-73.9832954,Yes
Optimo Cigar House,"317 7th Ave, Brooklyn, NY",,40.6671408,-73.9811874,Yes
The Avenue Deli,"305 7th Ave, Brooklyn, NY",,40.6676017,-73.9808041,Yes
Hipster Deli & Grocer,"168 7th Ave, Brooklyn, NY",(718) 369-3354,40.6719531,-73.9775502,Yes
7th Ave News,"206 7th Ave, Brooklyn, NY",,40.6708636,-73.9784615,Yes
Park Slope Newsstand,"95 7th Ave, Brooklyn, NY",(718) 783-8100,40.6742203,-73.9754359,Yes
Y & B Good Market,"80 7th Ave, Brooklyn, NY",(718) 230-7553,40.6749956,-73.9752645,Yes
Beauty House,"407 7th Ave, Brooklyn, NY",(917) 820-2858,40.6643216,-73.9835247,Yes
Greentree Pharmacy,"291 7th Ave, Brooklyn, NY",(718) 768-2700,40.6678731,-73.9805115,Yes
Modern Chemist/ Pure Essentials,"189 7th Ave, Brooklyn, NY",(718) 369-4500,40.6708907,-73.9778667,Yes
Neergard,"120 7th Ave, Brooklyn, NY",(718) 857-1600,40.6736433,-73.9762113,Yes
Rite Aid,"249 7th Ave, Brooklyn, NY",(718) 768-9567,40.6690877,-73.9794451080893,Yes
