Store,Address,Phone,lat,lon
BACICCIA,"426 7TH AVE, BROOKLYN, NY",(718) 788-1000,40.6638198,-73.9843521
MIKE DADDY'S PIZZA,"449 7TH AVE, BROOKLYN, NY",718-768-9700,40.6628991,-73.9847109
PIZZAS PLUS,"359 7TH AVE, BROOKLYN, NY",(718) 768-5327,40.6659015,-73.9822178
SOTTO VOCE,"225 7TH AVE, BROOKLYN, NY",(718) 369-9322,40.6699174,-73.9788574
NUMERO 28,"139 7TH AVE, BROOKLYN, NY",(718) 398-9198,40.6727375,-73.9763548
DA NONNA ROSA,"140 7TH AVE, BROOKLYN, NY",(718) 788-6225,40.672915950000004,-73.97699397981806
SMILING PIZZA,"323 7TH AVE, BROOKLYN, NY",718-788-2137,40.6669746,-73.9813174
JUST SALAD,"252 7TH AVE, BROOKLYN, NY",866-673-3757,40.6694841,-73.9796096
CAMPERDOWN ELM CUISINE,"441 7TH AVE, BROOKLYN, NY",(347) 294-4786,40.6631297,-73.9845191
BARE BURGER,"170 7TH AVE, BROOKLYN, NY",(718) 768-2273,40.6718642,-73.9776235
BAR BASIC,"71 7TH AVE, BROOKLYN, NY",(347) 348-3046,40.6751853,-73.9747957
BURGER VILLAGE,"222 7TH AVENUE, BROOKLYN, NY",718-499-4165,40.6703689,-73.978873
DDT,"847A UNION ST, BROOKLYN, NY",(929) 260-4979,40.674735,-73.9757817
MR. WONTON,"73 7TH AVE, BROOKLYN, NY",718-398-7088,40.6751334,-73.9748331
JINTANA THAI FARMHOUSE,"344 7TH AVE, BROOKLYN, NY",(718) 788-1922,40.6665543,-73.9820695
JAI DEE,"420 7TH AVE, BROOKLYN, NY",(718) 832-1544,40.6641096,-73.9841094
FONDA,"434 7TH AVE, BROOKLYN, NY",(718) 369 3144,40.6635858,-73.9845425
TEN JAPANESE CUISINE,"440 7TH AVE, BROOKLYN, NY",(718) 768-4888,40.6634477,-73.9846638
CASA AZUL,"492 11TH ST, BROOKLYN, NY",(929) 337-6767,40.6655246,-73.9824783
RICE THAI KITCHEN,"311 7TH AVE, BROOKLYN, NY",(718) 832-5169,40.6672936,-73.9810567
ISTANBUL,"293 7TH AVE, BROOKLYN, NY",(718) 832-3400,40.6678455,-73.9805935
SPICE,"61A 7TH AVE, BROOKLYN, NY",(718) 622-6353,40.675488,-73.974586
BOMBAY KABAB,"52 7TH AVE, BROOKLYN, NY",(347) 889-7686,40.6761132,-73.9745244
SZECHUAN GARDEN,"463 7TH AVE, BROOKLYN, NY",(718) 788 - 0788,40.6624098,-73.9851339
CAFE STEINHOF,"422 7TH AVENUE, BROOKLYN, NY",(718) 369-7776,40.6640552,-73.9841564
SZECHUAN DELIGHT,"152 7TH AVENUE, BROOKLYN, NY",(718) 788-5408,40.6725356,-73.9770742
PAPI'S GRILL,"161 7TH AVE, BROOKLYN, NY",(917) 909-0589,40.672143,-73.977012
JOY KITCHEN,"497 7TH AVE, BROOKLYN, NY",(718) 965-2874,40.6615086,-73.9858733
PITA PAN,"167 7TH AVENUE, BROOKLYN, NY",(718) 832-3876,40.6719299,-73.9771907
HENRY'S BUBBLE TEA,"433 7TH AVE, BROOKLYN, NY",(718) 788-8882,40.6634377,-73.9842639
MR. WONTON,"73 7TH AVE, BROOKLYN, NY",(718) 398-7088,40.6751334,-73.9748331
BAGEL DELIGHT,"284 7TH AVE, BROOKLYN, NY",(718) 768-6107,40.6685782,-73.9803757
BAGEL HOLE,"398 7TH AVE, BROOKLYN, NY",(718) 788-4014,40.664881,-73.983457
CUSP CREPE,"321 7TH AVE, BROOKLYN, NY",(718) 788-2980,40.6670686,-73.9812452
JAVA JOE'S,"418 8TH ST, BROOKLYN, NY",(718) 369-6026,40.66723485,-73.98078605
AMA COFFEE,"295 7TH AVE, BROOKLYN, NY",(646) 318-3378,40.6678048,-73.9806236
HUNGRY  GHOST,"156 7TH AVE, BROOKLYN, NY",(718) 483-8666,40.6723067,-73.9772577
CONNECTICUT MUFFIN,"171 7TH AVE, BROOKLYN, NY",(718) 768-2022,40.6718594,-73.9772497
BAGEL MARKET,"106 7TH AVE, BROOKLYN, NY",(718) 230-4700,40.674168,-73.9758305
BAGEL PUB,"57 7TH AVE, BROOKLYN, NY",718-499-4402,40.6757661,-73.9743815
PROSPECT WINE,"322 7TH AVE, BROOKLYN, NY",(718) 768-1232,40.6672852,-73.9814599
SLOPE CELLARS,"436 7TH AVE, BROOKLYN, NY",(718) 369-7307,40.6635414,-73.9845778
"BIG NOSE, FULL BODY WINE","389 7TH AVE, BROOKLYN, NY",(718) 369-4030,40.6651025,-73.9828739
AMARO WINES,"211 7TH AVE, BROOKLYN, NY",(347) 689-2660,40.6702016,-73.9786253
SHAWN'S LIQOUR,"141 7TH AVE, BROOKLYN, NY",(718) 622-7947,40.6727233,-73.9764377
7TH AVE WINE & LIQUORS,"88 7TH AVE, BROOKLYN, NY",(718) 399-3300,40.67481,-73.9753901
UNION MARKET,"404 7TH AVE, BROOKLYN, NY",(718) 499-4026,40.66474595,-73.98366724179644
7TH AVE GOURMET,"77 7TH AVE, BROOKLYN, NY",(718) 783-3806,40.67490318789852,-73.97504161842771
KEYFOOD,"130 7TH AV, BROOKLYN, NY",(718) 768-8317,40.67312765,-73.97679484981059
PARK SLOPE FARM/ MARKET,"294 7TH AVE, BROOKLYN, NY",,40.66813895,-73.98092114589338
FOOD TRAIN GROCER,"366 7TH AVE, BROOKLYN, NY",(718) 832-6916,40.6659471,-73.98270477652554
MR LIME,"313 7TH AVE, BROOKLYN, NY",,40.6672274,-73.9811035
396 DELI,"396 7TH AVE, BROOKLYN, NY",(718) 788-9797,40.6650694,-73.9832954
OPTIMO CIGAR HOUSE,"317 7TH AVE, BROOKLYN, NY",,40.6671408,-73.9811874
THE AVENUE DELI,"305 7TH AVE, BROOKLYN, NY",,40.6676017,-73.9808041
HIPSTER DELI & GROCER,"168 7TH AVE, BROOKLYN, NY",(718) 369-3354,40.6719531,-73.9775502
7TH AVE NEWS,"206 7TH AVE, BROOKLYN, NY",,40.6708636,-73.9784615
PARK SLOPE NEWSSTAND,"95 7TH AVE, BROOKLYN, NY",(718) 783-8100,40.6742203,-73.9754359
Y & B GOOD MARKET,"80 7TH AVE, BROOKLYN, NY",(718) 230-7553,40.6749956,-73.9752645
BEAUTY HOUSE,"407 7TH AVE, BROOKLYN, NY",(917) 820-2858,40.6643216,-73.9835247
GREENTREE PHARMACY,"291 7TH AVE, BROOKLYN, NY",(718) 768-2700,40.6678731,-73.9805115
MODERN CHEMIST/ PURE ESSENTIALS,"189 7TH AVE, BROOKLYN, NY",(718) 369-4500,40.6708907,-73.9778667
NEERGARD,"120 7TH AVE, BROOKLYN, NY",(718) 857-1600,40.6736433,-73.9762113
718 CYCLERY,"427 7TH AVE, BROOKLYN, NY",(347) 457-5760,40.6635902,-73.9841378
